Date,Open,High,Low,Close,Volume
17-Jul-15,56.18,56.49,55.95,56.40,4545314
16-Jul-15,56.38,56.45,55.92,56.17,4335714
15-Jul-15,56.00,56.20,55.84,55.95,5017136
14-Jul-15,56.42,56.53,55.96,56.17,5561468
13-Jul-15,55.62,56.28,55.40,56.20,5047642
10-Jul-15,55.26,55.40,54.50,55.26,5160156
9-Jul-15,55.12,55.46,54.60,54.72,6168402
8-Jul-15,55.11,55.38,54.50,54.64,6733634
7-Jul-15,55.04,55.66,54.53,55.64,7207070
6-Jul-15,54.54,55.26,54.50,54.92,4991324
2-Jul-15,54.96,55.36,54.54,54.94,5900022
1-Jul-15,54.48,54.72,54.30,54.72,5923952
30-Jun-15,54.42,54.44,53.90,54.01,7531108
29-Jun-15,54.64,54.74,53.83,53.84,9004902
26-Jun-15,54.18,55.17,52.61,54.86,20287620
25-Jun-15,53.40,53.40,52.34,52.61,10811370
24-Jun-15,53.60,53.68,53.02,53.11,5056198
23-Jun-15,53.60,53.63,53.41,53.60,5934286
22-Jun-15,53.43,53.72,53.32,53.40,4186666
19-Jun-15,53.02,53.42,52.97,53.26,7285558
18-Jun-15,52.52,53.34,52.50,53.00,5690530
17-Jun-15,52.37,52.58,52.04,52.38,4072494
16-Jun-15,51.74,52.49,51.72,52.28,5034098
15-Jun-15,51.55,51.92,51.36,51.68,4901994
12-Jun-15,51.78,52.05,51.60,51.89,4133038
11-Jun-15,52.54,52.56,51.74,51.94,6178028
10-Jun-15,50.92,52.02,50.83,51.67,6270398
9-Jun-15,50.74,50.96,50.39,50.68,3476844
8-Jun-15,50.80,50.94,50.69,50.72,4314090
5-Jun-15,50.75,51.12,50.56,51.02,3791746
4-Jun-15,51.03,51.65,50.81,50.98,4467168
3-Jun-15,51.14,51.54,50.88,51.26,4766704
2-Jun-15,50.90,51.34,50.75,51.06,4974676
1-Jun-15,50.88,51.14,50.72,50.88,4944150
29-May-15,51.15,51.19,50.52,50.84,5562280
28-May-15,51.12,51.48,50.76,51.15,5781666
27-May-15,51.74,51.96,51.16,51.42,8896744
26-May-15,52.22,52.38,51.59,51.71,5691368
22-May-15,52.60,52.61,52.02,52.22,5654776
21-May-15,52.44,52.60,52.12,52.20,5455100
20-May-15,52.46,52.58,52.10,52.30,5400302
19-May-15,52.31,52.59,52.18,52.32,5971288
18-May-15,52.56,52.75,52.21,52.38,5045232
15-May-15,51.82,52.52,51.68,52.49,7865296
14-May-15,51.47,51.75,51.16,51.72,5433374
13-May-15,51.34,51.36,50.90,51.08,4508286
12-May-15,50.99,51.34,50.80,51.18,4676460
11-May-15,51.21,51.61,51.04,51.40,5339820
8-May-15,51.14,51.65,51.14,51.22,5534780
7-May-15,50.22,50.80,50.01,50.72,5526328
6-May-15,50.14,50.50,49.84,50.11,5396500
5-May-15,50.22,50.44,50.13,50.21,5104504
4-May-15,50.50,50.60,50.24,50.42,4557780
1-May-15,49.94,50.41,49.70,50.39,6683498
30-Apr-15,49.88,50.26,49.23,49.42,6496960
29-Apr-15,49.76,50.24,49.63,50.08,5395124
28-Apr-15,50.40,50.40,49.60,49.93,6031624
27-Apr-15,50.64,51.00,50.38,50.47,5158348
24-Apr-15,50.23,50.64,50.10,50.48,4333902
23-Apr-15,49.89,50.80,49.72,50.56,4668126
22-Apr-15,50.15,50.20,49.64,50.08,3905790
21-Apr-15,50.38,50.42,49.86,50.14,5125302
20-Apr-15,49.54,50.17,49.51,50.00,6208572
17-Apr-15,49.58,49.68,49.07,49.28,6049532
16-Apr-15,49.74,50.08,49.70,49.95,4103938
15-Apr-15,50.32,50.36,49.86,49.92,5716284
14-Apr-15,49.53,49.90,49.35,49.76,4770844
13-Apr-15,49.98,50.03,49.53,49.64,7313732
10-Apr-15,50.46,50.54,49.96,49.98,5918122
9-Apr-15,50.50,50.84,50.30,50.36,5300988
8-Apr-15,50.00,50.48,49.86,50.42,6522368
7-Apr-15,49.86,50.13,49.74,49.80,3993638
6-Apr-15,49.38,50.32,49.28,49.86,5027514
2-Apr-15,50.02,50.16,49.70,49.83,3840442
1-Apr-15,50.00,50.14,49.17,49.78,6605356
31-Mar-15,50.44,50.92,50.14,50.16,6309234
30-Mar-15,50.62,50.78,50.27,50.44,5435458
27-Mar-15,49.56,50.09,49.56,49.94,4403500
26-Mar-15,49.17,50.04,48.84,49.66,9479732
25-Mar-15,50.50,50.59,49.47,49.50,8133494
24-Mar-15,50.52,50.83,50.30,50.32,7598814
23-Mar-15,50.78,51.30,50.60,50.73,10471888
20-Mar-15,51.32,51.90,50.62,50.99,29779820
19-Mar-15,48.90,49.31,48.60,49.16,13536086
18-Mar-15,48.27,48.94,47.80,48.76,8855660
17-Mar-15,48.07,48.39,47.76,48.27,6408236
16-Mar-15,48.10,48.40,47.96,48.22,8497008
13-Mar-15,48.52,48.74,47.65,47.90,7396106
